SegmentName:,X-coord:,Y-coord:,Z-coord:,Area:,Elasticity:,Thickness:,Radius:,Type:,BC:,Total Nodes:
superior_mesenteric_artery,0.17444,-130.73,1039,4.63E-05,400000,0.0006,2.921,Artery,,
superior_mesenteric_artery,-6.2447,-144.33,1017,4.46E-05,400000,0.0006,2.7697,Artery,,
superior_mesenteric_artery,-7.348,-147.05,992.52,4.29E-05,400000,0.0006,2.4563,Artery,,
superior_mesenteric_artery,-7.9132,-137.42,962.44,4.12E-05,400000,0.0006,1.9848,Artery,,
superior_mesenteric_artery,-20.663,-129.24,934.23,3.95E-05,400000,0.0006,1.5269,Artery,,
superior_mesenteric_artery,-43.543,-117.68,910.81,3.78E-05,400000,0.0006,1.1651,Artery,,
superior_mesenteric_artery,-56.566,-113.78,917.18,3.61E-05,400000,0.0006,1.1767,Artery,,
superior_mesenteric_artery,-53.5,-122.59,936.59,3.44E-05,400000,0.0006,1.3029,Artery,terminal,
left_renal_artery,22.574,-109.15,1041.4,2.3E-05,400000,0.0005,4.2865,Artery,,
left_renal_artery,35.011,-102.45,1041,2.3E-05,400000,0.0005,2.6681,Artery,terminal,
right_renal_artery,-14.628,-105.76,1036.3,3E-05,400000,0.0005,3.1195,Artery,,
right_renal_artery,-39.054,-99.874,1030,3E-05,400000,0.0005,1.3233,Artery,terminal,
inferior_mesenteric_artery,9.3867,-131.05,981.57,1.4E-05,400000,0.0005,2.3176,Artery,,
inferior_mesenteric_artery,14.304,-134.4,973.55,1.4E-05,400000,0.0005,2.2018,Artery,,
inferior_mesenteric_artery,16.292,-133.93,963.73,1.4E-05,400000,0.0005,1.9865,Artery,,
inferior_mesenteric_artery,16.072,-131.73,950.97,1.4E-05,400000,0.0005,1.7519,Artery,,
inferior_mesenteric_artery,11.482,-128.55,929.95,1.4E-05,400000,0.0005,1.3767,Artery,,
inferior_mesenteric_artery,5.2956,-114.31,900.2,1.4E-05,400000,0.0005,0.78762,Artery,terminal,
left_subclavian_artery,21.98,-91.845,1316.3,7E-05,400000,0.0007,3.3837,Artery,,
left_subclavian_artery,21.818,-92.752,1327.5,6.571429E-05,400000,0.0007,3.3218,Artery,,
left_subclavian_artery,22.864,-94.331,1339,6.142858E-05,400000,0.0007,3.5097,Artery,,
left_subclavian_artery,31.953,-98.731,1349.6,5.714287E-05,400000,0.0007,3.7318,Artery,bifurcation,
left_subclavian_artery,42.641,-100.47,1352.4,4.857145E-05,400000,0.0007,3.7554,Artery,,
left_subclavian_artery,53.421,-101.78,1350.6,4E-05,400000,0.0007,3.8741,Artery,,
left_subclavian_artery,60.7,-101.65,1346.5,4E-05,400000,0.0007,3.9053,Artery,,
left_subclavian_artery,67.673,-101.61,1342.6,4E-05,400000,0.0007,3.8867,Artery,,
left_subclavian_artery,73.964,-101.3,1339.5,4E-05,400000,0.0007,3.9273,Artery,,
left_subclavian_artery,82.213,-101.19,1336,4E-05,400000,0.0007,3.9258,Artery,,
left_axillary_arterty,90.476,-98.026,1331.6,3.758E-05,400000,0.0005,3.3906,Artery,,
left_axillary_arterty,103.46,-93.636,1325.8,3.516364E-05,400000,0.0005,3.321,Artery,,
left_axillary_arterty,122.83,-93.876,1317.8,3.274728E-05,400000,0.0005,3.2316,Artery,,
left_axillary_arterty,135.39,-90.822,1303.8,3.033092E-05,400000,0.0005,3.1305,Artery,,
left_axillary_arterty,141.48,-85.445,1288.1,2.791456E-05,400000,0.0005,3.0667,Artery,,
left_axillary_arterty,145.73,-83.237,1271.9,2.54982E-05,400000,0.0005,2.9876,Artery,,
left_brachial_artery,152.12,-80.904,1243.4,2.308184E-05,400000,0.0005,3.3062,Artery,,
left_brachial_artery,164.04,-76.816,1214.5,2.066548E-05,400000,0.0005,3.1344,Artery,,
left_brachial_artery,179,-76.099,1171,1.824912E-05,400000,0.0005,2.8703,Artery,,
left_brachial_artery,187.37,-82.713,1123,1.583276E-05,400000,0.0005,2.5923,Artery,,
left_brachial_artery,195.89,-86.659,1073.7,1.34164E-05,400000,0.0005,2.2908,Artery,,
left_brachial_artery,215.5,-85.043,1022.5,1.1E-05,400000,0.0005,1.9026,Artery,bifurcation,
left_radial_artery,227.3,-90.085,1008.6,6.2E-06,600000,0.0004,1.8158,Artery,,
left_radial_artery,239.54,-93.529,992.83,6.2E-06,600000,0.0004,1.7652,Artery,,
left_radial_artery,250.22,-93.818,975.58,6.2E-06,600000,0.0004,1.7176,Artery,,
left_radial_artery,256.49,-90.243,954.23,6.2E-06,600000,0.0004,1.6593,Artery,,
left_radial_artery,256.77,-85.607,930.66,6.2E-06,600000,0.0004,1.6072,Artery,,
left_radial_artery,258.42,-88.336,905.41,6.2E-06,600000,0.0004,1.5359,Artery,,
left_radial_artery,262.93,-100.68,877.61,6.2E-06,600000,0.0004,1.4673,Artery,,
left_radial_artery,267.01,-115.58,852.92,6.2E-06,600000,0.0004,1.3942,Artery,,
